animal_id,start_date,end_date,test_days,start_weight_g,end_weight_g,total_feed_g,AGE,ADG_g,ADFI_g,FCR,stage_label,stage_min,stage_max
ID167,2026-01-17,2026-04-06,80,30383.25,112234.895447459,222683.945444614,154,1144.77825800642,2783.54931805767,2.72057994958153,30-115kg,30,115
ID168,2026-01-14,2026-04-24,101,30835.4775157037,109453.209121301,305899.168114709,174,836.358846868055,3028.7046347991,3.89096914738418,30-115kg,30,115
ID169,2026-01-11,2026-04-09,89,31649.4805627864,111287.069767442,298529.02039393,160,971.190112251897,3354.25865611157,3.74859439336818,30-115kg,30,115
ID172,2026-01-14,2026-04-11,88,32938.8855752123,110989.329799928,209903.302897506,159,934.73585897863,2385.26480565347,2.68932874095081,30-115kg,30,115
ID173,2026-01-12,2026-04-23,102,34270.1921604435,111621.896254214,258233.691460181,173,814.228464144955,2531.70285745275,3.33843571367391,30-115kg,30,115
ID174,2026-01-13,2026-04-07,85,31428.4260336958,110343.897251529,197784.180299535,155,998.930015415616,2326.87270940629,2.5062788987673,30-115kg,30,115
ID175,2026-02-03,2026-04-17,74,42323.8636363636,112896,229818.368815446,167,1053.31546811398,3105.65363264116,3.25650292958772,30-115kg,30,115
ID178,2026-01-17,2026-04-06,80,37586.521519953,113274.005756956,204352.316403175,156,1043.96529982073,2554.40395503969,2.69994859075087,30-115kg,30,115
ID181,2026-01-11,2026-04-17,97,32352.0889952567,114069.272727273,243800.612011472,166,918.170603730517,2513.40837125229,2.983468113769,30-115kg,30,115
ID183,2026-01-11,2026-04-14,94,33215.5,112660.058823529,190588.41528102,164,907.93781512605,2027.5363327768,2.39901156357825,30-115kg,30,115
ID184,2026-01-15,2026-04-13,89,30425.7552931699,112564.125,222447.471130643,162,977.83773460512,2499.40978798476,2.70820411854542,30-115kg,30,115
ID185,2026-01-23,2026-04-15,83,32245.1,112478.571428571,202084.877047769,164,1055.70357142857,2434.7575547924,2.51871037672447,30-115kg,30,115
ID189,2026-02-03,2026-04-22,79,37461.8306278706,110172.014565551,199276.94179325,171,1009.86366580112,2522.49293409177,2.74070193473928,30-115kg,30,115
ID192,2026-01-14,2026-04-01,78,31528.9556682209,111493.931034483,214659.615651014,151,1126.26725867974,2752.04635450018,2.68442045617864,30-115kg,30,115
ID197,2026-01-12,2026-04-11,90,32534.3794029802,112732.646178952,265818.071963508,161,978.027643609408,2953.53413292787,3.31451143085241,30-115kg,30,115
